 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.0009841,-1.68916,0.300411,2.39058,60.2802,5.95364,0.56895,1.03105,-0.908034,0.418896,8.08442,0.0377951,-12.8734,-14.3262,-13.3891,-13.39,7.84608,8.51632,8.084
0.0112803,-1.68916,0.300411,2.39058,60.3179,5.95364,0.587708,1.01229,-0.91748,0.397782,8.05189,0.0385561,-12.8653,-14.3333,-13.4149,-13.4045,7.81811,8.45456,8.05638
0.0241944,-1.41375,0.312337,2.40593,60.3565,5.93944,0.603995,0.996005,-0.926123,0.377222,8.01876,0.0393182,-12.8591,-14.3409,-13.4409,-13.4184,7.79092,8.39448,8.02789
0.0377216,-1.2189,0.321351,2.42179,60.3958,5.92752,0.61935,0.98065,-0.934011,0.357245,7.98504,0.0400759,-12.8533,-14.3477,-13.467,-13.4318,7.76378,8.33537,7.99852
0.0518225,-1.08161,0.327965,2.43801,60.4359,5.91723,0.633925,0.966075,-0.94119,0.337877,7.95073,0.0408238,-12.8478,-14.3537,-13.4933,-13.4445,7.73654,8.27714,7.96824
0.0664555,-0.986876,0.332852,2.45454,60.4767,5.90808,0.648548,0.951452,-0.947709,0.319136,7.91584,0.0415576,-12.842,-14.3583,-13.5196,-13.4566,7.70887,8.21948,7.93705
0.0815767,-0.986876,0.332852,2.45454,60.5183,5.90808,0.662272,0.937728,-0.953613,0.301036,7.88038,0.0422733,-12.8366,-14.3624,-13.546,-13.4682,7.68101,8.16267,7.90494
0.0971404,-0.922665,0.336461,2.47128,60.5606,5.89973,0.674523,0.925477,-0.958947,0.283584,7.84435,0.0429673,-12.8323,-14.3667,-13.5723,-13.4792,7.65306,8.1068,7.8719
0.113099,-0.881193,0.339151,2.48819,60.6035,5.8919,0.685981,0.914019,-0.963756,0.266785,7.80776,0.0436366,-12.8285,-14.3705,-13.5987,-13.4897,7.62475,8.05161,7.83793
0.129403,-0.856163,0.341161,2.5052,60.6472,5.88442,0.69582,0.90418,-0.968081,0.250639,7.77062,0.0442788,-12.826,-14.3749,-13.6249,-13.4996,7.59622,7.99724,7.80305
